   0.0 TEL | Telepresence 0.105 launched at Fri May  1 15:50:41 2020
   0.0 TEL |   /usr/bin/telepresence --swap-deployment xnas-order-gateway --expose 50551 --run ./fix-sim-execution-venue
   0.0 TEL | uname: uname_result(system='Linux', node='mpendrey-Veriton-X4620G', release='5.3.0-51-generic', version='#44-Ubuntu SMP Wed Apr 22 21:09:44 UTC 2020', machine='x86_64', processor='x86_64')
   0.0 TEL | Platform: linux
   0.0 TEL | WSL: False
   0.0 TEL | Python 3.7.5 (default, Apr 19 2020, 20:18:17)
   0.0 TEL | [GCC 9.2.1 20191008]
   0.0 TEL | BEGIN SPAN main.py:40(main)
   0.0 TEL | BEGIN SPAN startup.py:83(set_kube_command)
   0.0 TEL | Found kubectl -> /snap/bin/kubectl
   0.0 TEL | [1] Capturing: kubectl config current-context
   0.1 TEL | [1] captured in 0.09 secs.
   0.1 TEL | [2] Capturing: kubectl --context kubernetes-admin@kubernetes version --short
   0.2 TEL | [2] captured in 0.11 secs.
   0.2 TEL | [3] Capturing: kubectl --context kubernetes-admin@kubernetes config view -o json
   0.3 TEL | [3] captured in 0.11 secs.
   0.3 TEL | [4] Capturing: kubectl --context kubernetes-admin@kubernetes get ns default
   0.4 TEL | [4] captured in 0.12 secs.
   0.4 TEL | [5] Capturing: kubectl --context kubernetes-admin@kubernetes api-versions
   0.6 TEL | [5] captured in 0.14 secs.
   0.6 TEL | Command: kubectl 1.18.2
   0.6 TEL | Context: kubernetes-admin@kubernetes, namespace: default, version: 1.17.4
   0.6 TEL | END SPAN startup.py:83(set_kube_command)    0.6s
   0.6 TEL | Found ssh -> /usr/bin/ssh
   0.6 TEL | [6] Capturing: ssh -V
   0.6 TEL | [6] captured in 0.01 secs.
   0.6 TEL | Found ./fix-sim-execution-venue -> ./fix-sim-execution-venue
   0.6 TEL | Found sshuttle-telepresence -> /usr/libexec/sshuttle-telepresence
   0.6 TEL | Found conntrack -> /usr/sbin/conntrack
   0.6 TEL | Found iptables -> /usr/sbin/iptables
   0.6 TEL | Found sudo -> /usr/bin/sudo
   0.6 TEL | [7] Running: sudo -n echo -n
   0.6 TEL | [7] ran in 0.01 secs.
   0.6 TEL | [8] Capturing: sudo iptables --list
   0.6 TEL | [8] captured in 0.01 secs.
   0.6 >>> | Starting proxy with method 'vpn-tcp', which has the following limitations: All processes are affected, only one telepresence can run per machine, and you can't use other VPNs. You may need to add cloud hosts and headless services with --also-proxy. For a full list of method limitations see https://telepresence.io/reference/methods.html
   0.6 TEL | Found sshfs -> /usr/bin/sshfs
   0.6 TEL | Found fusermount -> /usr/bin/fusermount
   0.6 >>> | Volumes are rooted at $TELEPRESENCE_ROOT. See https://telepresence.io/howto/volumes.html for details.
   0.6 TEL | [9] Running: kubectl --context kubernetes-admin@kubernetes --namespace default get pods telepresence-connectivity-check --ignore-not-found
   0.7 TEL | [9] ran in 0.13 secs.
   1.2 TEL | Scout info: {'latest_version': '0.105', 'application': 'telepresence', 'notices': []}
   1.2 TEL | BEGIN SPAN deployment.py:283(supplant_deployment)
   1.2 >>> | Starting network proxy to cluster by swapping out Deployment xnas-order-gateway with a proxy
   1.2 TEL | BEGIN SPAN remote.py:75(get_deployment_json)
   1.2 TEL | [10] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default get deployment -o json xnas-order-gateway
   1.3 TEL | [10] captured in 0.11 secs.
   1.3 TEL | END SPAN remote.py:75(get_deployment_json)    0.1s
   1.3 TEL | [11] Running: kubectl --context kubernetes-admin@kubernetes --namespace default delete deployment xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a --ignore-not-found
   1.4 TEL | [11] ran in 0.11 secs.
   1.4 TEL | [12] Running: kubectl --context kubernetes-admin@kubernetes --namespace default apply -f -
   1.7  12 | deployment.apps/xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a created
   1.7 TEL | [12] ran in 0.31 secs.
   1.7 TEL | [13] Running: kubectl --context kubernetes-admin@kubernetes --namespace default scale deployment xnas-order-gateway --replicas=0
   2.0  13 | deployment.apps/xnas-order-gateway scaled
   2.0 TEL | [13] ran in 0.35 secs.
   2.0 TEL | END SPAN deployment.py:283(supplant_deployment)    0.9s
   2.0 TEL | BEGIN SPAN remote.py:142(get_remote_info)
   2.0 TEL | BEGIN SPAN remote.py:75(get_deployment_json)
   2.0 TEL | [14] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default get deployment -o json --selector=telepresence=8b672831e5e04e08949dbadd9755009a
   2.3 TEL | [14] captured in 0.22 secs.
   2.3 TEL | END SPAN remote.py:75(get_deployment_json)    0.2s
   2.3 TEL | Searching for Telepresence pod:
   2.3 TEL |   with name xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-*
   2.3 TEL |   with labels {'app': 'execution-venue', 'execution-venue-id': 'XNASsim', 'mic': 'XNAS', 'telepresence': '8b672831e5e04e08949dbadd9755009a'}
   2.3 TEL | [15] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default get pod -o json --selector=telepresence=8b672831e5e04e08949dbadd9755009a
   2.4 TEL | [15] captured in 0.18 secs.
   2.4 TEL | Checking xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg
   2.4 TEL | Looks like we've found our pod!
   2.4 TEL | BEGIN SPAN remote.py:104(wait_for_pod)
   2.4 TEL | [16] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default get pod xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg -o json
   2.6 TEL | [16] captured in 0.13 secs.
   2.8 TEL | [17] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default get pod xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg -o json
   3.0 TEL | [17] captured in 0.13 secs.
   3.2 TEL | [18] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default get pod xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg -o json
   3.3 TEL | [18] captured in 0.12 secs.
   3.6 TEL | [19] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default get pod xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg -o json
   3.7 TEL | [19] captured in 0.13 secs.
   4.0 TEL | [20] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default get pod xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg -o json
   4.1 TEL | [20] captured in 0.14 secs.
   4.4 TEL | [21] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default get pod xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg -o json
   4.5 TEL | [21] captured in 0.13 secs.
   4.7 TEL | [22] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default get pod xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg -o json
   4.9 TEL | [22] captured in 0.14 secs.
   5.1 TEL | [23] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default get pod xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg -o json
   5.3 TEL | [23] captured in 0.14 secs.
   5.5 TEL | [24] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default get pod xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg -o json
   5.7 TEL | [24] captured in 0.13 secs.
   5.9 TEL | [25] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default get pod xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg -o json
   6.0 TEL | [25] captured in 0.13 secs.
   6.3 TEL | [26] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default get pod xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg -o json
   6.4 TEL | [26] captured in 0.13 secs.
   6.7 TEL | [27] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default get pod xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg -o json
   6.9 TEL | [27] captured in 0.21 secs.
   7.1 TEL | [28] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default get pod xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg -o json
   7.3 TEL | [28] captured in 0.20 secs.
   7.3 TEL | END SPAN remote.py:104(wait_for_pod)    4.9s
   7.3 TEL | END SPAN remote.py:142(get_remote_info)    5.3s
   7.3 TEL | BEGIN SPAN connect.py:37(connect)
   7.3 TEL | [29] Launching kubectl logs: kubectl --context kubernetes-admin@kubernetes --namespace default logs -f xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg --container execution-venue --tail=10
   7.3 TEL | [30] Launching kubectl port-forward: kubectl --context kubernetes-admin@kubernetes --namespace default port-forward xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg 45605:8022
   7.3 TEL | [31] Running: ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 45605 telepresence@127.0.0.1 /bin/true
   7.4 TEL | [31] exit 255 in 0.01 secs.
   7.5  29 | 2020-05-01T14:50:48+0000 [-] Loading ./forwarder.py...
   7.5  29 | 2020-05-01T14:50:48+0000 [-] /etc/resolv.conf changed, reparsing
   7.5  29 | 2020-05-01T14:50:48+0000 [-] Resolver added ('10.96.0.10', 53) to server list
   7.5  29 | 2020-05-01T14:50:48+0000 [-] SOCKSv5Factory starting on 9050
   7.5  29 | 2020-05-01T14:50:48+0000 [socks.SOCKSv5Factory#info] Starting factory <socks.SOCKSv5Factory object at 0x7ff0c80101d0>
   7.5  29 | 2020-05-01T14:50:48+0000 [-] DNSDatagramProtocol starting on 9053
   7.5  29 | 2020-05-01T14:50:48+0000 [-] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7ff0c80104a8>
   7.5  29 | 2020-05-01T14:50:48+0000 [-] Loaded.
   7.5  29 | 2020-05-01T14:50:48+0000 [twisted.scripts._twistd_unix.UnixAppLogger#info] twistd 20.3.0 (/usr/bin/python3.6 3.6.8) starting up.
   7.5  29 | 2020-05-01T14:50:48+0000 [twisted.scripts._twistd_unix.UnixAppLogger#info] reactor class: twisted.internet.epollreactor.EPollReactor.
   7.5  30 | Forwarding from 127.0.0.1:45605 -> 8022
   7.5  30 | Forwarding from [::1]:45605 -> 8022
   7.6 TEL | [32] Running: ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 45605 telepresence@127.0.0.1 /bin/true
   7.6  30 | Handling connection for 45605
   7.8 TEL | [32] ran in 0.22 secs.
   7.8 >>> | Forwarding remote port 50551 to local port 50551.
   7.8 TEL | [33] Launching SSH port forward (exposed ports): ssh -N -oServerAliveInterval=1 -oServerAliveCountMax=10 -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 45605 telepresence@127.0.0.1 -R '*:50551:127.0.0.1:50551'
   7.8 >>> | 
   7.8 TEL | Launching Web server for proxy poll
