UNITED KINGDOM,GB,XOSR,XOSR,O,SMART ROUTER,SMART,SMART,www.github.com/ettec/open-trading-platform,MARCH 2020,ACTIVE,MARCH 2020,ALL CLASSES OF SECURITIES.
ALBANIA,AL,`,XALS,O,ALBANIA SECURITIES EXCHANGE,ALSE,TIRANA,WWW.ALSE.AL,APRIL 2019,ACTIVE,APRIL 2019,ALL CLASSES OF SECURITIES.
ALBANIA,AL,XTIR,XTIR,O,TIRANA STOCK EXCHANGE,,TIRANA,,JUNE 2005,ACTIVE,JUNE 2005,
ALGERIA,DZ,XALG,XALG,O,ALGIERS STOCK EXCHANGE,,ALGIERS,,JUNE 2005,ACTIVE,JUNE 2005,
ANGOLA,AO,XBDV,XBDV,O,BOLSA DE DIVIDA E VALORES DE ANGOLA (BODIVA) - ANGOLA SECURITIES EXCHANGE,BODIVA,LUANDA,WWW.BODIVA.AO,APRIL 2017,ACTIVE,APRIL 2017,REGULATED MARKETS FOR SECURITIES TRADING.
ARGENTINA,AR,BACE,BACE,O,BOLSA DE CEREALES DE BUENOS AIRES,,BUENOS AIRES,WWW.BOLCEREALES.COM.AR,JANUARY 2011,ACTIVE,JANUARY 2011,COMMODITY EXCHANGE.
ARGENTINA,AR,BCFS,BCFS,O,BOLSA DE COMERCIO DE SANTA FE,,SANTA FE,WWW.BCSF.COM.AR,NOVEMBER 2007,ACTIVE,NOVEMBER 2007,
ARGENTINA,AR,MVCX,XBCC,S,MERCADO DE VALORES DE CORDOBA S.A.,,CORDOBA,WWW.MERVALCORDOBA.COM.AR,JANUARY 2011,ACTIVE,JANUARY 2011,
ARGENTINA,AR,ROFX,ROFX,O,ROSARIO FUTURE EXCHANGE,ROFEX,ROSARIO,WWW.ROFEX.COM.AR,OCTOBER 2009,ACTIVE,OCTOBER 2009,REGISTERED MARKET FOR FUTURES AND OPTIONS.
ARGENTINA,AR,XBCC,XBCC,O,BOLSA DE COMERCIO DE CORDOBA,,CORDOBA,WWW.BOLSACBA.COM.AR,JANUARY 2011,ACTIVE,JANUARY 2011,
ARGENTINA,AR,XBCM,XBCM,O,BOLSA DE COMERCIO DE MENDOZA S.A.,,MENDOZA,WWW.BOLSAMZA.COM.AR,JANUARY 2011,ACTIVE,JANUARY 2011,
ARGENTINA,AR,XBCX,XBCM,S,MERCADO DE VALORES DE MENDOZA S.A.,,MENDOZA,WWW.MERVALMZA.COM.AR,JANUARY 2011,ACTIVE,JANUARY 2011,
ARGENTINA,AR,XBUE,XBUE,O,BOLSA DE COMERCIO DE BUENOS AIRES,BCBA,BUENOS AIRES,WWW.BCBA.SBA.COM.AR,JANUARY 2011,ACTIVE,JANUARY 2011,
ARGENTINA,AR,XCNF,XCNF,O,BOLSA DE COMERCIO CONFEDERADA S.A.,BCC,CORRIENTES,WWW.BOLSANOR.COM,NOVEMBER 2007,ACTIVE,NOVEMBER 2007,
ARGENTINA,AR,XMAB,XMAB,O,MERCADO ABIERTO ELECTRONICO S.A.,MAE,BUENOS AIRES,WWW.MAE.COM.AR,JUNE 2005,ACTIVE,JUNE 2005,
ARGENTINA,AR,XMEV,XBUE,S,MERCADO DE VALORES DE BUENOS AIRES S.A.,MERVAL,BUENOS AIRES,WWW.MERVAL.SBA.COM.AR,JUNE 2005,ACTIVE,JUNE 2005,
ARGENTINA,AR,XMTB,XMTB,O,MERCADO A TERMINO DE BUENOS AIRES S.A.,MATBA,BUENOS AIRES,WWW.MATBA.COM.AR,JUNE 2005,ACTIVE,JUNE 2005,
ARGENTINA,AR,XMVL,BCFS,S,MERCADO DE VALORES DEL LITORAL S.A.,,SANTA FE,WWW.MVL.COM.AR,JANUARY 2011,ACTIVE,JANUARY 2011,
ARGENTINA,AR,XROS,XROS,O,BOLSA DE COMERCIO ROSARIO,BCR,ROSARIO,WWW.BCR.COM.AR,JUNE 2005,ACTIVE,JUNE 2005,
ARGENTINA,AR,XROX,XROS,S,MERCADO DE VALORES DE ROSARIO S.A.,MERVAROS,ROSARIO,WWW.MERVAROS.COM.AR,JANUARY 2011,ACTIVE,JANUARY 2011,
ARGENTINA,AR,XTUC,XROS,S,NUEVA BOLSA DE COMERCIO DE TUCUMAN S.A.,NBCT,TUCUMAN,WWW.NBCT.COM.AR,NOVEMBER 2007,ACTIVE,NOVEMBER 2007,
ARMENIA,AM,XARM,XARM,O,NASDAQ OMX ARMENIA,ARMEX,YEREVAN,WWW.NASDAQOMX.COM,FEBRUARY 2011,ACTIVE,FEBRUARY 2011,NASDAQ OMX ARMENIA IS THE NEW NAME OF THE ARMENIAN STOCK EXCHANGE.
AUSTRALIA,AU,APXL,APXL,O,SYDNEY STOCK EXCHANGE LIMITED,SSX,SYDNEY,WWW.SSX.SYDNEY,FEBRUARY 2016,ACTIVE,AUGUST 2011,"AS A SECURITIES EXCHANGE,SSX PROVIDES ‘LISTING’ FACILITIES TO COMPANIES AND SECURITIES ISSUERS AS WELL AS ‘TRADING’ FACILITIES FOR STOCK BROKERS, TRADERS AND INVESTORS TO BUY AND SELL SHARES/SECURITIES."
AUSTRALIA,AU,ASXB,XASX,S,ASX BOOKBUILD,ASX,SYDNEY,WWW.ASX.COM.AU,OCTOBER 2012,ACTIVE,OCTOBER 2012,ON-MARKET AUTOMATED BOOKBUILD MECHANISM CALLED ASX BOOKBUILD TO ALLOW ASX LISTED COMPANIES TO PRICE AND ALLOCATE NEW SECURITIES.
AUSTRALIA,AU,ASXC,XASX,S,ASX - CENTRE POINT,ASX,SYDNEY,WWW.ASX.COM.AU/TRADING_SERVICES/ASX-TRADE.HTM,FEBRUARY 2018,ACTIVE,AUGUST 2011,CENTRE POINT ARE ORDER TYPES IN ASX TRADE ENABLING EXECUTION AT THE PREVAILING MIDPOINT OF THE BEST BID AND OFFER OF THE ASX CENTRAL LIMIT ORDER BOOK.
AUSTRALIA,AU,ASXP,XASX,S,ASX - PUREMATCH,ASX,SYDNEY,WWW.ASX.COM.AU/TRADING_SERVICES/ASX-TRADE.HTM,AUGUST 2011,ACTIVE,AUGUST 2011,"ASX PUREMATCH IS AN ADDITIONAL ORDER BOOK LAUNCHING IN MID 2011 AIMED AT MEETING THE NEEDS OF LATENCY SENSITIVE TRADERS, PROVIDING TRADING IN A SUBSET OF ASX LISTED SECURITIES."
AUSTRALIA,AU,ASXT,XASX,S,ASX TRADEMATCH,ASX,SYDNEY,WWW.ASX.COM.AU,MAY 2012,ACTIVE,SEPTEMBER 2011,MERGER BETWEEN XASX AND XSFE.
